POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1262.08,3210.47,4015.94,-3247.05,-28523.65,1445.85,14683.43,-4253.13,97.27,0.0,-7152.94,-4155.87,-11308.81
2,1245.73,3203.65,4039.69,-3264.88,-28601.71,1469.73,14709.61,-4161.71,97.37,0.0,-7198.18,-4064.35,-11262.53
3,1271.77,3165.19,4030.48,-3237.9,-28654.85,1449.59,14805.95,-4159.1,97.49,0.0,-7169.77,-4061.61,-11231.38
4,1303.2,3215.1,4053.06,-3292.39,-28705.97,1460.56,14770.3,-4072.0,96.22,0.0,-7196.12,-3975.78,-11171.9
5,1299.08,3178.99,3990.67,-3239.37,-28837.4,1459.31,14786.78,-4030.04,95.92,0.0,-7361.93,-3934.12,-11296.05
6,1323.44,3166.12,4020.99,-3259.75,-28748.23,1494.95,14746.9,-4024.8,95.93,0.0,-7255.58,-3928.86,-11184.44
7,1248.7,3265.74,4022.68,-3276.63,-28719.24,1477.39,14790.86,-4184.37,97.57,0.0,-7190.51,-4086.8,-11277.31
8,1266.23,3268.69,4005.82,-3298.38,-28643.0,1433.84,14797.68,-4171.84,98.09,0.0,-7169.12,-4073.75,-11242.87
9,1336.09,3203.5,4084.16,-3286.53,-28776.26,1461.5,14798.58,-4089.4,95.88,0.0,-7178.96,-3993.53,-11172.49
10,1295.14,3185.63,4058.46,-3290.35,-28785.21,1479.66,14850.14,-4052.45,95.61,0.0,-7206.54,-3956.84,-11163.39
11,1293.93,3223.86,3995.2,-3285.66,-28595.47,1442.22,14774.37,-4149.33,97.64,0.0,-7151.56,-4051.69,-11203.25
12,1289.86,3237.68,4025.08,-3324.79,-28666.91,1427.17,14769.97,-4125.35,97.52,0.0,-7241.94,-4027.83,-11269.78
13,1312.99,3239.06,4024.21,-3271.78,-28673.56,1464.45,14724.95,-4145.4,97.64,0.0,-7179.68,-4047.76,-11227.44
14,1271.22,3220.4,4044.28,-3271.91,-28788.19,1421.63,14773.74,-4121.29,96.95,0.0,-7328.83,-4024.35,-11353.18
15,1292.04,3205.9,4060.88,-3293.99,-28854.43,1471.29,14824.55,-4093.62,96.37,0.0,-7293.75,-3997.25,-11291.0
16,1297.72,3249.52,4020.24,-3263.28,-28850.46,1452.99,14798.88,-4066.58,98.33,0.0,-7294.39,-3968.25,-11262.64
17,1315.02,3165.64,4044.88,-3272.14,-28818.17,1457.12,14784.38,-4044.14,96.95,0.0,-7323.28,-3947.19,-11270.47
18,1304.0,3265.91,4059.64,-3314.1,-28734.48,1468.5,14768.43,-4085.89,97.63,0.0,-7182.1,-3988.26,-11170.36
19,1337.42,3204.96,4016.93,-3282.49,-28742.36,1448.51,14763.65,-4123.95,98.76,0.0,-7253.38,-4025.19,-11278.57
20,1295.97,3259.1,4049.13,-3280.48,-28824.92,1451.0,14701.64,-3995.79,96.15,0.0,-7348.56,-3899.64,-11248.2
21,1274.12,3284.78,4078.83,-3291.65,-28769.79,1446.09,14771.25,-4102.47,97.13,0.0,-7206.37,-4005.34,-11211.7
22,1271.3,3212.21,4052.36,-3278.53,-28806.51,1480.33,14844.15,-4080.78,98.24,0.0,-7224.7,-3982.54,-11207.24
23,1285.58,3247.94,4015.06,-3270.56,-28652.41,1459.24,14634.19,-4082.27,97.11,0.0,-7280.96,-3985.16,-11266.12
24,1312.3,3279.7,4048.78,-3288.82,-28834.33,1469.32,14756.39,-4043.05,96.95,0.0,-7256.66,-3946.1,-11202.76
25,1285.76,3143.46,3995.86,-3240.79,-28813.7,1469.01,14788.61,-4109.54,96.52,0.0,-7371.8,-4013.02,-11384.82
26,1368.52,3202.52,4032.18,-3230.12,-28836.1,1462.21,14645.17,-4005.21,97.82,0.0,-7355.62,-3907.39,-11263.01
27,1312.52,3217.5,4033.17,-3254.05,-28801.38,1460.93,14762.31,-4052.88,97.36,0.0,-7268.99,-3955.52,-11224.51
28,1279.92,3140.46,4023.45,-3229.31,-28788.96,1480.8,14761.21,-4065.62,97.94,0.0,-7332.44,-3967.68,-11300.11
29,1353.8,3241.22,4059.43,-3244.74,-28822.08,1464.98,14722.03,-4085.81,98.35,0.0,-7225.36,-3987.46,-11212.82
30,1225.81,3243.59,4021.62,-3245.51,-28797.3,1450.24,14790.05,-4128.14,99.23,0.0,-7311.5,-4028.9,-11340.4
31,1354.78,3245.28,3999.08,-3222.68,-28814.51,1443.84,14740.77,-4086.91,98.91,0.0,-7253.44,-3988.0,-11241.44
32,1281.73,3212.37,4027.93,-3261.88,-28749.06,1441.29,14819.64,-4117.72,99.0,0.0,-7227.99,-4018.73,-11246.72
33,1308.71,3216.07,4018.19,-3222.08,-28665.28,1450.2,14717.84,-4137.48,97.55,0.0,-7176.35,-4039.93,-11216.29
34,1285.81,3210.86,4043.19,-3265.05,-28681.91,1456.94,14803.99,-4123.5,97.62,0.0,-7146.17,-4025.88,-11172.04
35,1255.04,3282.09,4042.69,-3253.48,-28701.31,1459.47,14712.56,-4152.2,98.72,0.0,-7202.94,-4053.48,-11256.41
36,1279.75,3221.6,3946.32,-3295.2,-28761.76,1463.53,14810.66,-4100.06,97.23,0.0,-7335.08,-4002.83,-11337.91
37,1313.92,3225.21,3995.17,-3271.55,-28762.05,1478.91,14803.61,-4129.38,96.97,0.0,-7216.78,-4032.41,-11249.18
38,1321.47,3241.86,3970.8,-3313.41,-28677.97,1467.84,14751.72,-4146.72,96.93,0.0,-7237.69,-4049.79,-11287.49
39,1321.5,3206.5,4026.72,-3241.73,-28750.98,1452.12,14737.57,-4171.35,96.05,0.0,-7248.29,-4075.3,-11323.59
40,1258.44,3205.67,4048.52,-3278.23,-28664.71,1474.46,14785.68,-4140.84,95.31,0.0,-7170.16,-4045.52,-11215.68
41,1274.49,3252.05,4034.84,-3273.24,-28752.09,1462.05,14801.2,-4142.3,96.3,0.0,-7200.71,-4046.0,-11246.7
42,1286.38,3297.7,4007.12,-3263.5,-28664.19,1432.86,14735.93,-4130.12,97.27,0.0,-7167.7,-4032.85,-11200.55
43,1238.92,3224.03,4044.12,-3254.22,-28797.82,1474.1,14823.59,-4139.91,97.8,0.0,-7247.28,-4042.11,-11289.4
44,1312.9,3218.38,3977.52,-3291.27,-28547.49,1420.29,14689.4,-4233.14,98.49,0.0,-7220.27,-4134.65,-11354.92
45,1290.11,3225.87,4029.38,-3253.12,-28729.26,1478.52,14729.16,-4114.88,97.91,0.0,-7229.35,-4016.97,-11246.32
46,1323.57,3293.16,4038.61,-3290.3,-28720.07,1440.21,14776.59,-4150.53,97.34,0.0,-7138.23,-4053.19,-11191.42
47,1259.26,3272.12,3987.61,-3282.73,-28754.1,1452.46,14837.47,-4128.2,97.49,0.0,-7227.91,-4030.71,-11258.62
48,1308.03,3326.7,3981.16,-3208.76,-28794.82,1496.36,14793.64,-4082.05,98.11,0.0,-7097.68,-3983.95,-11081.62
49,1298.05,3218.67,4011.67,-3268.95,-28756.45,1458.03,14689.47,-4052.53,97.23,0.0,-7349.52,-3955.31,-11304.82
50,1326.74,3320.92,4040.95,-3227.17,-28723.22,1448.81,14770.02,-4147.18,97.6,0.0,-7042.94,-4049.58,-11092.52
51,1275.05,3215.96,4009.99,-3277.52,-28755.77,1471.98,14763.24,-4117.05,96.87,0.0,-7297.08,-4020.18,-11317.26
52,1260.22,3168.71,4004.07,-3246.48,-28934.72,1461.64,14813.92,-3985.18,95.76,0.0,-7472.64,-3889.42,-11362.06
53,1297.5,3182.52,4075.65,-3272.49,-28792.17,1477.2,14803.99,-4093.06,95.97,0.0,-7227.8,-3997.09,-11224.88
54,1308.79,3149.7,3967.88,-3207.27,-28842.88,1455.9,14750.94,-4062.22,97.41,0.0,-7416.94,-3964.81,-11381.74
55,1302.15,3263.24,4010.65,-3255.27,-28812.23,1480.73,14739.63,-4085.83,97.74,0.0,-7271.1,-3988.09,-11259.19
56,1309.09,3220.19,3988.84,-3222.55,-28896.57,1465.87,14882.97,-4079.05,98.45,0.0,-7252.16,-3980.6,-11232.76
57,1255.37,3254.42,3975.81,-3256.62,-28939.76,1460.3,14824.1,-4010.06,97.22,0.0,-7426.39,-3912.84,-11339.23
58,1336.02,3204.46,4019.86,-3244.66,-28793.25,1481.57,14670.26,-4047.79,99.04,0.0,-7325.74,-3948.75,-11274.49
59,1294.49,3180.06,3989.15,-3221.66,-28836.93,1458.73,14832.87,-4104.1,97.92,0.0,-7303.29,-4006.19,-11309.47
60,1260.29,3278.0,4007.77,-3283.5,-28842.47,1444.27,14853.09,-4093.07,96.97,0.0,-7282.55,-3996.1,-11278.65
61,1305.07,3235.27,4012.29,-3277.24,-28723.37,1442.39,14733.17,-4060.43,95.83,0.0,-7272.42,-3964.6,-11237.02
62,1297.89,3239.09,3985.94,-3248.91,-28927.97,1480.13,14777.47,-3987.38,96.37,0.0,-7396.37,-3891.01,-11287.37
63,1300.68,3234.13,4020.65,-3260.81,-28863.19,1455.79,14807.88,-4038.44,97.52,0.0,-7304.88,-3940.92,-11245.8
64,1292.58,3272.34,4026.88,-3312.92,-28866.54,1468.79,14805.42,-3994.56,96.2,0.0,-7313.44,-3898.37,-11211.81
65,1265.77,3224.2,3981.61,-3301.58,-28690.99,1460.94,14769.95,-4131.28,98.25,0.0,-7290.1,-4033.03,-11323.13
66,1294.11,3256.96,4073.38,-3242.22,-28795.97,1443.84,14800.37,-4098.29,96.75,0.0,-7169.53,-4001.54,-11171.07
67,1286.17,3171.29,4020.51,-3262.56,-28732.97,1454.35,14775.69,-4128.73,97.22,0.0,-7287.54,-4031.51,-11319.05
68,1312.02,3311.35,4016.13,-3301.07,-28925.27,1478.19,14726.86,-3918.22,95.1,0.0,-7381.8,-3823.11,-11204.91
69,1316.71,3164.95,4024.68,-3290.74,-28862.55,1461.96,14804.29,-4013.33,95.11,0.0,-7380.69,-3918.22,-11298.91
70,1283.27,3181.53,4033.96,-3291.52,-28827.48,1462.29,14730.81,-4043.6,96.48,0.0,-7427.15,-3947.12,-11374.27
71,1269.72,3206.69,4044.67,-3289.34,-28762.81,1470.54,14855.62,-4164.37,96.46,0.0,-7204.91,-4067.91,-11272.82
72,1281.03,3215.57,4041.1,-3290.77,-28597.67,1453.81,14698.33,-4204.75,96.48,0.0,-7198.6,-4108.27,-11306.87
73,1374.58,3148.66,4014.84,-3220.37,-28881.91,1477.21,14784.21,-4081.69,95.65,0.0,-7302.78,-3986.04,-11288.82
74,1258.98,3169.62,4001.24,-3257.43,-28815.56,1463.49,14791.03,-4095.56,96.57,0.0,-7388.63,-3998.99,-11387.63
75,1304.25,3279.71,4026.81,-3280.32,-28721.22,1464.88,14800.37,-4164.91,95.46,0.0,-7125.52,-4069.45,-11194.97
76,1282.03,3156.25,4061.97,-3232.33,-28937.67,1492.18,14807.71,-4035.14,95.73,0.0,-7369.85,-3939.41,-11309.26
77,1307.58,3232.26,4069.17,-3280.22,-28595.73,1463.69,14688.85,-4181.9,96.19,0.0,-7114.4,-4085.71,-11200.11
78,1286.23,3318.53,4039.92,-3280.27,-28857.49,1475.82,14799.52,-4063.52,96.04,0.0,-7217.74,-3967.48,-11185.22
79,1246.19,3198.64,3970.94,-3269.12,-28805.55,1475.25,14837.5,-4107.31,95.61,0.0,-7346.14,-4011.7,-11357.84
80,1220.89,3255.4,4003.4,-3311.6,-28685.1,1458.36,14751.38,-4144.5,96.36,0.0,-7307.28,-4048.14,-11355.42
81,1249.05,3242.65,3964.92,-3251.33,-28632.87,1473.06,14712.49,-4210.27,97.01,0.0,-7242.02,-4113.25,-11355.28
82,1309.47,3189.48,3993.13,-3224.45,-28547.84,1448.94,14669.1,-4200.64,97.18,0.0,-7162.18,-4103.47,-11265.64
83,1345.97,3175.11,3983.51,-3268.69,-28600.88,1456.5,14688.76,-4198.05,95.95,0.0,-7219.72,-4102.1,-11321.82
84,1247.56,3236.12,4050.56,-3287.24,-28684.09,1433.05,14765.27,-4170.39,96.01,0.0,-7238.76,-4074.38,-11313.14
85,1258.23,3302.0,3991.04,-3231.07,-28672.94,1468.59,14687.46,-4157.75,95.02,0.0,-7196.7,-4062.74,-11259.43
86,1243.39,3251.13,4019.29,-3274.0,-28812.32,1487.38,14805.22,-4092.27,95.81,0.0,-7279.9,-3996.46,-11276.36
87,1357.93,3208.5,4020.51,-3253.25,-28779.41,1458.57,14725.04,-4129.75,96.65,0.0,-7262.11,-4033.11,-11295.22
88,1267.52,3163.32,4047.05,-3283.65,-28791.1,1468.24,14731.19,-4028.96,96.06,0.0,-7397.43,-3932.89,-11330.32
89,1287.58,3261.85,3998.5,-3266.3,-28949.27,1478.81,14860.08,-4053.79,95.52,0.0,-7328.74,-3958.28,-11287.02
90,1294.69,3218.54,4031.84,-3276.79,-28792.59,1447.87,14738.59,-4053.88,96.46,0.0,-7337.85,-3957.42,-11295.27
91,1324.79,3293.15,4000.5,-3303.75,-28946.84,1453.77,14770.18,-3947.1,94.94,0.0,-7408.19,-3852.16,-11260.35
92,1303.86,3234.47,4027.15,-3264.1,-28704.09,1440.55,14750.22,-4103.77,96.68,0.0,-7211.94,-4007.09,-11219.03
93,1282.02,3188.19,4021.88,-3236.66,-28709.54,1448.97,14705.76,-4069.0,96.28,0.0,-7299.38,-3972.71,-11272.09
94,1234.89,3245.76,3975.93,-3247.95,-28849.48,1453.6,14801.1,-4051.49,96.73,0.0,-7386.16,-3954.76,-11340.92
95,1273.6,3195.1,3945.22,-3271.9,-28833.83,1452.29,14726.71,-3958.01,96.16,0.0,-7512.82,-3861.85,-11374.67
96,1269.02,3248.81,4009.33,-3245.39,-28815.61,1459.94,14721.29,-4012.48,96.45,0.0,-7352.62,-3916.03,-11268.65
97,1243.88,3220.43,3983.08,-3314.97,-28813.52,1459.28,14762.14,-3940.42,95.0,0.0,-7459.67,-3845.42,-11305.09
98,1291.31,3251.18,4032.1,-3241.98,-28889.65,1468.29,14711.5,-3975.93,94.8,0.0,-7377.25,-3881.13,-11258.38
99,1283.75,3223.08,3998.29,-3224.09,-28991.35,1454.62,14821.88,-3980.57,95.21,0.0,-7433.81,-3885.36,-11319.17
100,1341.58,3169.21,4046.1,-3270.75,-28822.84,1439.53,14816.31,-4066.46,96.53,0.0,-7280.85,-3969.93,-11250.79
101,1312.36,3297.36,4006.21,-3267.08,-28691.43,1452.16,14655.44,-4079.08,96.67,0.0,-7234.98,-3982.41,-11217.39
102,1291.05,3266.38,3997.15,-3224.54,-28657.58,1450.64,14672.48,-4175.22,97.27,0.0,-7204.41,-4077.95,-11282.36
103,1318.65,3272.79,4047.51,-3249.66,-28777.17,1476.77,14731.21,-4097.89,97.43,0.0,-7179.9,-4000.46,-11180.36
104,1279.72,3236.85,3962.53,-3305.57,-28634.54,1470.34,14767.21,-4189.78,96.81,0.0,-7223.46,-4092.97,-11316.42
105,1279.77,3219.84,4049.04,-3280.97,-28562.49,1462.6,14737.27,-4267.82,97.71,0.0,-7094.94,-4170.11,-11265.05
106,1299.76,3211.7,4041.08,-3238.31,-28498.54,1473.03,14786.1,-4327.93,98.39,0.0,-6925.17,-4229.54,-11154.7
107,1254.86,3160.6,4015.43,-3314.19,-28545.32,1464.39,14731.64,-4211.24,97.09,0.0,-7232.59,-4114.14,-11346.74
108,1276.25,3213.21,4038.9,-3268.1,-28591.14,1457.33,14841.09,-4282.82,97.4,0.0,-7032.45,-4185.42,-11217.87
109,1348.5,3258.78,3995.22,-3288.8,-28574.57,1462.19,14707.82,-4215.85,96.04,0.0,-7090.86,-4119.81,-11210.67
110,1333.81,3280.53,4045.14,-3290.19,-28566.51,1447.79,14826.8,-4263.46,96.28,0.0,-6922.64,-4167.18,-11089.82
111,1280.61,3173.19,4010.2,-3268.27,-28538.42,1455.26,14849.09,-4359.71,96.4,0.0,-7038.33,-4263.31,-11301.64
112,1270.38,3211.27,4062.3,-3221.11,-28631.66,1476.72,14798.31,-4265.18,96.43,0.0,-7033.78,-4168.75,-11202.53
113,1251.69,3278.64,4041.06,-3298.4,-28577.79,1464.38,14744.31,-4185.22,95.63,0.0,-7096.11,-4089.59,-11185.7
114,1287.31,3180.62,3981.3,-3241.19,-28596.25,1462.39,14756.29,-4247.57,98.7,0.0,-7169.53,-4148.87,-11318.39
115,1267.38,3215.68,3984.27,-3255.13,-28590.68,1497.38,14794.37,-4276.14,98.13,0.0,-7086.73,-4178.01,-11264.75
116,1336.99,3206.66,4029.02,-3288.59,-28450.91,1470.58,14769.4,-4318.64,97.03,0.0,-6926.84,-4221.61,-11148.45
117,1308.45,3144.23,3968.04,-3298.28,-28594.07,1460.6,14761.79,-4231.13,96.75,0.0,-7249.23,-4134.38,-11383.62
118,1210.47,3219.27,4017.2,-3258.39,-28578.84,1517.65,14847.93,-4321.07,97.24,0.0,-7024.7,-4223.83,-11248.54
119,1342.31,3148.47,4041.78,-3295.09,-28626.65,1481.56,14708.41,-4185.83,96.55,0.0,-7199.21,-4089.27,-11288.48
120,1255.39,3267.34,3992.54,-3285.34,-28582.64,1445.3,14715.85,-4223.82,96.6,0.0,-7191.56,-4127.22,-11318.78
121,1347.04,3175.82,3976.51,-3284.09,-28699.27,1480.56,14789.07,-4124.19,96.22,0.0,-7214.36,-4027.97,-11242.33
122,1314.33,3162.52,4032.87,-3281.93,-28567.84,1468.64,14744.03,-4244.45,96.7,0.0,-7127.38,-4147.75,-11275.14
123,1264.49,3297.97,3979.77,-3298.27,-28789.76,1467.36,14759.2,-4092.36,95.35,0.0,-7319.25,-3997.01,-11316.26
124,1329.91,3262.77,4026.68,-3292.34,-28715.63,1470.64,14737.98,-4119.49,96.08,0.0,-7180.0,-4023.41,-11203.41
125,1284.95,3318.78,4039.7,-3281.28,-28664.72,1445.3,14753.85,-4146.99,96.71,0.0,-7103.41,-4050.28,-11153.69
126,1307.48,3227.22,3973.48,-3262.76,-28647.97,1462.5,14746.76,-4227.93,97.76,0.0,-7193.29,-4130.17,-11323.46
127,1274.81,3183.29,4021.41,-3254.04,-28786.48,1477.12,14803.0,-4173.92,97.32,0.0,-7280.89,-4076.6,-11357.49
128,1357.95,3167.12,4048.52,-3274.94,-28706.45,1449.01,14731.66,-4103.23,96.53,0.0,-7227.12,-4006.7,-11233.82
129,1295.3,3243.94,3984.1,-3289.43,-28756.59,1476.33,14769.22,-4063.17,96.41,0.0,-7277.13,-3966.76,-11243.89
130,1339.24,3235.06,4020.42,-3275.78,-28803.15,1467.33,14841.42,-4109.44,96.33,0.0,-7175.46,-4013.11,-11188.57
131,1338.18,3244.3,3992.79,-3315.94,-28615.56,1460.32,14767.79,-4221.64,97.71,0.0,-7128.12,-4123.94,-11252.06
132,1278.98,3361.57,4050.2,-3307.91,-28730.98,1446.18,14801.34,-4156.04,96.95,0.0,-7100.61,-4059.08,-11159.7
