POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1314.83,3158.46,4032.78,-3266.33,-28738.88,1454.88,14810.78,-4217.02,95.7,0.0,-7233.49,-4121.31,-11354.8
2,1250.99,3234.1,4035.53,-3268.3,-28662.88,1457.77,14753.59,-4252.72,97.25,0.0,-7199.21,-4155.47,-11354.68
3,1284.71,3194.52,4007.95,-3280.45,-28589.67,1438.4,14745.75,-4254.86,97.16,0.0,-7198.8,-4157.7,-11356.5
4,1280.97,3207.12,4013.89,-3281.01,-28520.03,1450.32,14665.96,-4224.87,96.5,0.0,-7182.77,-4128.37,-11311.14
5,1268.02,3249.21,3995.46,-3305.94,-28572.08,1486.65,14822.4,-4261.35,95.92,0.0,-7056.28,-4165.42,-11221.7
6,1222.65,3174.85,4012.27,-3307.75,-28645.9,1455.47,14831.49,-4235.94,96.17,0.0,-7256.91,-4139.76,-11396.68
7,1269.69,3273.3,4056.84,-3259.36,-28724.56,1462.97,14845.68,-4235.45,95.59,0.0,-7075.46,-4139.87,-11215.32
8,1293.75,3216.62,4000.72,-3247.08,-28688.67,1457.48,14780.34,-4223.58,96.72,0.0,-7186.84,-4126.86,-11313.7
9,1341.69,3197.87,4040.02,-3283.23,-28785.64,1434.82,14795.03,-4135.89,96.74,0.0,-7259.45,-4039.15,-11298.6
10,1260.99,3223.22,4008.73,-3295.46,-28735.95,1447.88,14797.43,-4128.72,96.34,0.0,-7293.15,-4032.38,-11325.53
11,1252.89,3167.36,4030.96,-3251.84,-28732.72,1479.04,14811.44,-4173.97,95.85,0.0,-7242.88,-4078.12,-11321.0
12,1314.38,3176.16,4046.18,-3243.81,-28810.02,1500.89,14810.67,-4113.37,94.81,0.0,-7205.56,-4018.56,-11224.11
13,1315.36,3208.31,3995.36,-3244.03,-28581.85,1433.7,14732.59,-4253.1,98.33,0.0,-7140.57,-4154.77,-11295.34
14,1304.16,3247.07,3974.52,-3295.26,-28693.67,1457.28,14747.29,-4078.62,96.43,0.0,-7258.62,-3982.19,-11240.81
15,1265.11,3137.0,3983.92,-3274.9,-28544.78,1465.47,14719.09,-4260.87,97.84,0.0,-7249.08,-4163.02,-11412.1
16,1298.26,3256.44,4028.48,-3271.12,-28771.38,1459.81,14789.99,-4147.35,95.89,0.0,-7209.52,-4051.46,-11260.99
17,1320.36,3200.94,4024.75,-3301.42,-28640.15,1494.74,14763.64,-4181.64,94.68,0.0,-7137.14,-4086.96,-11224.1
18,1310.39,3233.84,4000.35,-3248.53,-28630.93,1437.7,14684.44,-4172.03,97.02,0.0,-7212.75,-4075.01,-11287.75
19,1305.41,3177.51,4065.24,-3216.27,-28694.32,1423.36,14733.57,-4118.56,96.89,0.0,-7205.49,-4021.67,-11227.16
20,1298.87,3196.79,4023.54,-3261.79,-28653.05,1437.02,14774.89,-4234.52,96.77,0.0,-7183.73,-4137.76,-11321.48
21,1307.42,3241.04,4058.49,-3265.23,-28717.43,1473.12,14769.74,-4169.02,97.44,0.0,-7132.85,-4071.58,-11204.43
22,1294.79,3239.35,4019.11,-3250.76,-28773.73,1484.35,14789.21,-4144.22,98.52,0.0,-7197.69,-4045.69,-11243.38
23,1294.56,3143.59,4007.56,-3256.94,-28622.89,1447.91,14737.67,-4188.09,96.8,0.0,-7248.54,-4091.3,-11339.84
24,1305.81,3199.13,4026.9,-3300.91,-28662.52,1463.73,14766.6,-4164.7,95.91,0.0,-7201.25,-4068.79,-11270.04
25,1307.75,3192.43,4073.7,-3247.5,-28748.29,1478.85,14737.64,-4098.89,96.68,0.0,-7205.41,-4002.21,-11207.63
26,1340.21,3260.17,4025.27,-3235.76,-28748.07,1421.2,14730.07,-4098.43,96.08,0.0,-7206.9,-4002.35,-11209.25
27,1314.55,3152.72,4002.9,-3314.92,-28699.13,1466.56,14786.94,-4066.02,95.9,0.0,-7290.37,-3970.12,-11260.48
28,1308.02,3197.21,4040.04,-3225.8,-28932.69,1459.62,14743.19,-4007.36,96.71,0.0,-7410.4,-3910.65,-11321.05
29,1310.77,3184.81,3997.86,-3305.2,-28656.1,1482.56,14712.31,-4105.57,94.78,0.0,-7273.0,-4010.79,-11283.78
30,1297.78,3187.65,4019.45,-3284.71,-28696.83,1486.75,14791.89,-4099.3,95.58,0.0,-7198.02,-4003.73,-11201.75
31,1238.12,3197.3,3968.01,-3283.64,-28652.63,1442.9,14737.47,-4128.6,96.8,0.0,-7352.47,-4031.79,-11384.27
32,1294.91,3223.13,4038.98,-3259.37,-28798.83,1468.06,14724.47,-4027.89,96.21,0.0,-7308.65,-3931.67,-11240.33
33,1302.87,3206.58,4071.2,-3322.38,-28719.08,1436.83,14739.57,-4049.63,94.68,0.0,-7284.42,-3954.95,-11239.37
34,1293.42,3220.07,3994.51,-3256.63,-28857.02,1478.88,14815.19,-4075.62,96.3,0.0,-7311.58,-3979.32,-11290.9
35,1313.85,3184.49,4036.89,-3287.6,-28796.38,1467.32,14720.5,-3992.81,94.86,0.0,-7360.94,-3897.94,-11258.88
36,1293.47,3311.89,3990.39,-3277.05,-28879.49,1456.8,14719.76,-4008.28,95.8,0.0,-7384.23,-3912.48,-11296.71
37,1257.19,3228.04,4020.37,-3278.45,-29000.41,1461.42,14812.62,-3918.36,94.83,0.0,-7499.21,-3823.52,-11322.74
38,1313.25,3139.44,4030.18,-3278.15,-28896.73,1486.54,14768.65,-4018.44,95.33,0.0,-7436.82,-3923.11,-11359.94
39,1283.13,3196.39,3983.31,-3313.35,-28720.77,1474.39,14832.77,-4152.91,95.48,0.0,-7264.14,-4057.43,-11321.56
40,1330.2,3263.02,4002.09,-3258.67,-28908.55,1474.66,14748.32,-3996.22,95.48,0.0,-7348.92,-3900.74,-11249.67
41,1368.04,3231.36,4011.77,-3275.45,-28811.83,1454.3,14708.26,-4002.87,95.15,0.0,-7313.55,-3907.73,-11221.27
42,1320.55,3235.49,4016.63,-3318.34,-28769.23,1450.52,14710.76,-4038.83,93.93,0.0,-7353.62,-3944.9,-11298.52
43,1341.12,3129.33,3978.2,-3297.93,-29063.42,1490.79,14890.11,-3921.77,97.03,0.0,-7531.8,-3824.73,-11356.53
44,1310.38,3137.68,4002.33,-3271.13,-28937.59,1458.74,14827.75,-3971.54,96.25,0.0,-7471.85,-3875.29,-11347.14
45,1304.02,3221.27,3995.29,-3288.51,-29054.59,1478.53,14881.43,-3910.07,95.44,0.0,-7462.55,-3814.64,-11277.19
46,1315.64,3242.82,4019.94,-3238.31,-28831.31,1454.96,14688.8,-3964.27,95.61,0.0,-7347.46,-3868.65,-11216.12
47,1277.85,3225.68,4050.8,-3302.02,-28847.24,1492.69,14768.0,-4008.69,94.3,0.0,-7334.23,-3914.39,-11248.62
48,1315.31,3179.73,3990.3,-3293.57,-28910.78,1461.52,14769.34,-3938.68,94.22,0.0,-7488.14,-3844.46,-11332.6
49,1331.73,3192.87,4037.48,-3280.67,-28578.9,1456.42,14609.79,-4064.04,95.89,0.0,-7231.29,-3968.15,-11199.44
50,1284.78,3197.09,4000.35,-3307.04,-28635.23,1483.96,14768.93,-4071.88,94.16,0.0,-7207.16,-3977.72,-11184.88
51,1315.65,3155.39,4023.66,-3236.15,-28732.7,1480.9,14749.79,-4043.71,95.3,0.0,-7243.45,-3948.42,-11191.87
52,1312.8,3255.14,4033.86,-3232.05,-28875.49,1483.53,14758.6,-4028.92,95.15,0.0,-7263.6,-3933.77,-11197.37
53,1274.67,3189.16,4027.08,-3273.25,-28736.7,1440.7,14769.99,-4102.97,95.59,0.0,-7308.34,-4007.38,-11315.72
54,1311.53,3207.23,4003.09,-3304.61,-28683.76,1442.49,14702.16,-4120.48,95.96,0.0,-7321.86,-4024.52,-11346.38
55,1274.65,3209.21,4002.2,-3349.22,-28785.47,1460.09,14764.72,-4044.49,95.97,0.0,-7423.81,-3948.53,-11372.33
56,1269.28,3200.33,4002.61,-3334.76,-28814.64,1472.91,14818.29,-4037.67,94.41,0.0,-7385.98,-3943.26,-11329.24
57,1303.13,3192.41,3985.82,-3267.73,-28978.68,1506.91,14799.69,-3905.85,93.49,0.0,-7458.45,-3812.36,-11270.82
58,1318.03,3248.34,3981.14,-3291.02,-28910.33,1467.96,14724.86,-3939.23,94.73,0.0,-7461.02,-3844.51,-11305.52
59,1269.84,3202.65,4030.92,-3337.51,-28855.77,1451.23,14785.72,-3957.59,94.42,0.0,-7452.92,-3863.17,-11316.09
60,1298.78,3216.35,4018.14,-3286.25,-28960.93,1473.19,14733.14,-3902.76,94.68,0.0,-7507.58,-3808.08,-11315.66
61,1324.49,3215.08,4029.68,-3324.51,-28868.09,1461.63,14751.78,-3950.88,94.07,0.0,-7409.94,-3856.81,-11266.75
62,1265.0,3226.28,3975.54,-3283.52,-29004.15,1465.88,14761.32,-3881.35,93.73,0.0,-7593.64,-3787.61,-11381.25
63,1288.59,3225.96,4040.63,-3330.83,-28866.35,1470.45,14680.13,-3917.93,93.87,0.0,-7491.42,-3824.06,-11315.48
64,1299.96,3080.23,4032.69,-3293.97,-28873.05,1453.24,14774.42,-3965.74,93.77,0.0,-7526.49,-3871.97,-11398.47
65,1301.4,3232.48,3979.18,-3304.11,-28849.03,1474.87,14699.99,-3950.46,94.22,0.0,-7465.23,-3856.24,-11321.47
66,1304.97,3134.3,4013.38,-3272.54,-28759.55,1478.54,14699.36,-4005.32,93.37,0.0,-7401.54,-3911.94,-11313.48
67,1300.1,3209.41,4034.91,-3274.49,-28953.45,1480.32,14720.37,-3913.04,93.59,0.0,-7482.82,-3819.45,-11302.27
68,1308.01,3139.65,4029.1,-3248.13,-28922.06,1459.15,14739.44,-3955.17,94.42,0.0,-7494.83,-3860.76,-11355.58
69,1293.67,3301.84,3992.84,-3281.63,-28989.16,1478.63,14780.18,-3922.92,93.85,0.0,-7423.63,-3829.07,-11252.7
70,1290.65,3242.68,3986.9,-3317.26,-29040.17,1464.69,14845.31,-3884.06,94.59,0.0,-7527.21,-3789.47,-11316.68
71,1265.39,3142.93,3983.16,-3233.77,-28882.24,1460.26,14738.2,-4000.17,94.84,0.0,-7526.07,-3905.33,-11431.4
72,1300.9,3222.72,3998.77,-3297.1,-28783.89,1446.64,14720.64,-4073.3,94.43,0.0,-7391.31,-3978.88,-11370.19
73,1295.84,3186.6,4002.41,-3329.31,-28767.43,1484.8,14712.33,-4012.22,95.75,0.0,-7414.77,-3916.47,-11331.24
74,1299.72,3214.2,3975.58,-3287.98,-28753.83,1490.07,14757.76,-4093.04,96.41,0.0,-7304.47,-3996.63,-11301.1
75,1321.01,3209.22,3963.36,-3248.38,-28739.39,1464.94,14675.97,-4030.87,96.29,0.0,-7353.27,-3934.58,-11287.84
76,1271.96,3237.11,4023.79,-3261.16,-28825.0,1452.47,14799.2,-4051.69,96.03,0.0,-7301.65,-3955.65,-11257.3
77,1303.77,3191.94,3987.02,-3278.53,-28911.47,1494.91,14768.45,-3988.55,95.08,0.0,-7443.92,-3893.47,-11337.39
78,1334.67,3186.39,4009.8,-3284.7,-28796.43,1459.2,14702.95,-4076.4,95.69,0.0,-7388.11,-3980.71,-11368.82
79,1292.42,3235.85,3995.09,-3244.63,-28615.82,1450.43,14581.65,-4155.1,96.92,0.0,-7305.03,-4058.18,-11363.21
80,1263.11,3270.2,4019.83,-3313.69,-28739.87,1466.87,14717.94,-4062.96,96.2,0.0,-7315.59,-3966.75,-11282.35
81,1287.04,3194.82,3980.22,-3317.06,-28895.6,1463.25,14911.37,-4042.14,95.47,0.0,-7375.95,-3946.67,-11322.62
