POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1259.66,3257.63,4034.1,-3290.5,-28997.78,1471.43,14800.96,-3969.97,95.1,0.0,-7464.5,-3874.87,-11339.37
2,1286.22,3182.3,3989.74,-3287.44,-28863.1,1444.19,14822.83,-4109.22,96.36,0.0,-7425.25,-4012.86,-11438.11
3,1273.82,3161.3,4053.36,-3268.65,-28932.05,1444.88,14861.91,-4102.33,97.17,0.0,-7405.44,-4005.16,-11410.6
4,1318.64,3201.67,4021.57,-3259.16,-28872.32,1433.41,14872.27,-4165.78,96.49,0.0,-7283.93,-4069.29,-11353.22
5,1296.87,3154.56,4046.11,-3292.12,-28932.72,1464.8,14855.97,-4058.34,95.48,0.0,-7406.53,-3962.86,-11369.39
6,1260.66,3305.61,4007.42,-3290.46,-28974.02,1457.0,14824.12,-4019.55,95.58,0.0,-7409.67,-3923.97,-11333.64
7,1326.14,3250.68,4008.62,-3238.05,-29053.67,1454.27,14807.1,-3977.22,95.72,0.0,-7444.92,-3881.5,-11326.42
8,1300.77,3196.52,4023.11,-3243.03,-29260.15,1448.89,14892.67,-3886.53,95.23,0.0,-7641.23,-3791.3,-11432.53
9,1280.8,3217.02,4119.37,-3296.41,-29126.8,1463.95,14865.08,-3929.89,96.06,0.0,-7476.99,-3833.83,-11310.82
10,1305.04,3215.88,4052.14,-3313.76,-29022.25,1466.32,14941.81,-4060.73,95.12,0.0,-7354.82,-3965.62,-11320.44
11,1310.45,3229.05,4022.6,-3304.16,-29087.24,1476.1,14944.14,-3972.67,97.05,0.0,-7409.05,-3875.62,-11284.67
12,1232.63,3239.54,4034.97,-3295.92,-29066.0,1450.58,14945.03,-4027.86,96.16,0.0,-7459.17,-3931.69,-11390.86
13,1332.35,3245.8,3998.05,-3301.54,-29047.89,1445.62,14881.4,-4008.63,96.47,0.0,-7446.2,-3912.16,-11358.36
14,1311.39,3213.35,4050.33,-3273.81,-29149.09,1483.53,14931.38,-4030.98,96.1,0.0,-7432.93,-3934.88,-11367.81
15,1230.43,3246.63,3992.37,-3254.07,-29040.23,1467.81,14867.61,-4017.02,95.77,0.0,-7489.45,-3921.25,-11410.71
16,1280.82,3182.78,4103.85,-3325.64,-28876.67,1467.66,14891.47,-4149.22,96.85,0.0,-7275.74,-4052.36,-11328.1
17,1269.31,3217.97,4046.39,-3308.88,-28791.29,1461.16,14794.01,-4122.15,96.15,0.0,-7311.34,-4026.0,-11337.34
18,1299.7,3204.37,4037.38,-3331.05,-28922.74,1433.03,14825.85,-4072.15,96.24,0.0,-7453.47,-3975.9,-11429.37
19,1265.52,3252.28,4033.59,-3274.07,-28825.21,1441.36,14727.49,-4096.3,95.85,0.0,-7379.03,-4000.45,-11379.48
20,1331.66,3258.7,4062.6,-3272.5,-29083.11,1452.0,14817.65,-3996.92,95.43,0.0,-7433.0,-3901.5,-11334.5
21,1293.34,3227.62,4035.61,-3276.96,-28848.62,1442.76,14792.38,-4086.09,95.81,0.0,-7333.87,-3990.28,-11324.15
22,1298.0,3251.5,3999.78,-3293.41,-28958.21,1468.79,14788.61,-4008.76,95.61,0.0,-7444.95,-3913.14,-11358.1
23,1294.91,3212.82,4022.08,-3267.07,-28995.58,1444.4,14816.48,-4051.03,97.1,0.0,-7471.96,-3953.93,-11425.89
24,1324.85,3198.88,4028.77,-3265.31,-29115.39,1455.79,14879.9,-3990.6,96.53,0.0,-7492.51,-3894.06,-11386.57
25,1260.31,3194.68,4037.0,-3276.25,-28927.57,1442.64,14906.13,-4146.16,96.96,0.0,-7363.06,-4049.2,-11412.27
26,1289.26,3191.33,4091.78,-3253.87,-29020.55,1446.19,14865.88,-4102.7,98.19,0.0,-7389.98,-4004.51,-11394.49
27,1261.16,3208.17,4044.81,-3287.29,-28911.18,1453.76,14867.88,-4129.78,97.25,0.0,-7362.68,-4032.53,-11395.21
