POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1008.51,2473.2,3180.05,-2464.88,-23173.85,1113.11,13553.56,-3336.3,80.56,0.0,-4310.3,-3255.74,-7566.04
2,979.81,2479.33,3197.39,-2510.02,-23101.3,1137.2,13571.76,-3303.8,79.5,0.0,-4245.83,-3224.3,-7470.14
3,1011.45,2473.05,3264.3,-2529.36,-23133.36,1133.21,13602.79,-3326.42,80.66,0.0,-4177.92,-3245.76,-7423.68
4,957.54,2557.76,3236.39,-2499.27,-23215.94,1179.46,13626.73,-3263.15,80.55,0.0,-4157.33,-3182.59,-7339.93
5,985.55,2426.61,3188.08,-2505.27,-23120.25,1155.67,13531.38,-3275.07,80.53,0.0,-4338.23,-3194.54,-7532.77
6,999.99,2503.76,3225.73,-2508.79,-23177.45,1154.45,13600.25,-3265.12,80.96,0.0,-4202.05,-3184.17,-7386.22
7,1014.38,2439.83,3259.64,-2477.69,-23169.85,1154.16,13593.3,-3310.32,81.3,0.0,-4186.23,-3229.02,-7415.25
8,993.37,2449.64,3188.53,-2481.6,-23164.52,1139.51,13576.4,-3278.31,80.33,0.0,-4298.68,-3197.98,-7496.65
9,975.6,2454.21,3233.13,-2454.04,-23214.63,1146.75,13675.89,-3362.61,80.72,0.0,-4183.1,-3281.89,-7464.99
10,1007.74,2425.0,3223.2,-2499.19,-23118.93,1160.99,13663.06,-3353.19,80.66,0.0,-4138.12,-3272.53,-7410.65
11,1017.09,2444.66,3206.06,-2475.7,-23209.58,1155.7,13559.56,-3240.96,81.11,0.0,-4302.21,-3159.85,-7462.07
12,997.42,2418.54,3219.48,-2487.47,-23157.45,1159.52,13517.93,-3228.51,81.63,0.0,-4332.03,-3146.88,-7478.91
